id,block_type,block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15
110,train (16),6,9,12,12,13,14,12,13,13,14,10,12
110,test (8),3,2,5,5,6,5,5,5,5,6,5,3
111,train (16),6,11,11,12,13,15,11,15,16,16,16,16
111,test (8),4,3,8,6,3,8,6,8,8,8,8,8
112,train (16),9,7,7,10,11,15,11,12,6,12,14,14
112,test (8),2,5,6,5,5,6,5,5,6,7,8,8
113,train (16),8,11,6,15,9,12,13,16,16,16,16,16
113,test (8),5,4,5,6,7,6,8,8,8,8,8,8
114,train (16),11,10,11,9,8,13,10,14,14,14,13,13
114,test (8),3,0,4,1,5,1,4,1,3,3,5,7
115,train (16),8,10,10,12,11,10,12,10,15,16,16,16
115,test (8),3,5,6,6,5,7,7,8,8,8,8,8
116,train (16),10,11,13,15,15,16,15,16,16,16,16,15
116,test (8),5,8,7,8,8,8,8,8,8,8,8,8
117,train (16),7,5,11,10,14,9,8,11,10,14,12,12
117,test (8),3,4,4,5,6,3,3,5,5,5,6,5
118,train (16),8,13,16,16,16,16,16,16,16,16,16,16
118,test (8),5,8,8,8,8,8,8,8,8,8,8,8
119,train (16),7,9,9,12,14,16,15,15,15,16,16,16
119,test (8),2,7,8,8,8,8,8,8,8,8,8,8
120,train (16),8,10,7,11,12,6,10,11,12,14,16,16
120,test (8),4,4,1,4,6,5,3,5,8,7,8,8
121,train (16),6,10,5,10,14,9,9,8,11,13,12,13
121,test (8),6,6,5,6,5,4,5,6,5,3,6,6
122,train (16),5,7,9,8,13,12,14,16,16,16,16,16
122,test (8),3,4,6,6,7,7,8,8,8,8,8,8
123,train (16),8,9,11,13,14,10,15,13,16,15,15,16
123,test (8),4,5,3,6,5,5,7,6,7,8,7,8
124,train (16),6,11,14,13,15,16,16,16,16,16,15,16
124,test (8),3,5,6,7,8,8,8,8,8,8,7,8
